IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,LOCATION,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0001,Speeches - 1989-1990 Speeches - AAU Welcome,,"Duderstadt, James J.",,2015,2015,1989-10-22 00:00:00,AAU Welcome | jjd961.pdf,\9811_0001\data\original-records\1989-1990 Speeches\AAU Welcome | \9811_0001\data\Speeches\JJDS4a\jjd961.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0002,Speeches - 1989-1990 Speeches - Addins-1990,,"Duderstadt, James J.",,2015,2015,1990-04-06 00:00:00,Addins-1990 | jjd962.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Addins-1990 | \9811_0001\data\Speeches\JJDS4b\jjd962.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0003,Speeches - 1989-1990 Speeches - Aerospace Dedication,,"Duderstadt, James J.",,2015,2015,1989-11-03 00:00:00,Aerospace Dedication | jjd963.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Aerospace Dedication | \9811_0001\data\Speeches\JJDS4a\jjd963.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0004,Speeches - 1989-1990 Speeches - Aerospace Dedication…,,"Duderstadt, James J.",,2015,2015,1989-11-03 00:00:00,Aerospace Dedication… | jjd963.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Aerospace Dedication… | \9811_0001\data\Speeches\JJDS4a\jjd963.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0005,Speeches - 1989-1990 Speeches - Alumni (Major Gifts),,"Duderstadt, James J.",,2015,2015,undated,Alumni (Major Gifts),\9811_0001\data\original-records\1989-1990 Speeches\Alumni (Major Gifts),,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0006,Speeches - 1989-1990 Speeches - Alumni (Volunteers),,"Duderstadt, James J.",,2015,2015,1989-09-26 00:00:00,Alumni (Volunteers) | jjd966.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Alumni (Volunteers) | \9811_0001\data\Speeches\JJDS4a\jjd966.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0007,Speeches - 1989-1990 Speeches - Alumni (Volunteers) 2.0,,"Duderstadt, James J.",,2015,2015,1989-09-26 00:00:00,Alumni (Volunteers) 2.0 | jjd967.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Alumni (Volunteers) 2.0 | \9811_0001\data\Speeches\JJDS4a\jjd967.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0008,Speeches - 1989-1990 Speeches - Alumni 5.0,,"Duderstadt, James J.",,2015,2015,1989-09-11 00:00:00,Alumni 5.0 | jjd968.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Alumni 5.0 | \9811_0001\data\Speeches\JJDS4a\jjd968.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0009,Speeches - 1989-1990 Speeches - American Education…,,"Duderstadt, James J.",,2015,2015,1989-12-14 00:00:00,American Education… | jjd969.pdf,\9811_0001\data\original-records\1989-1990 Speeches\American Education… | \9811_0001\data\Speeches\JJDS4a\jjd969.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
9811_0001_0010,Speeches - 1989-1990 Speeches - Appro Comm Test 1.1,,"Duderstadt, James J.",,2015,2015,1991-03-10 00:00:00,Appro Comm Test 1.1 | jjd1103.pdf,\9811_0001\data\original-records\1989-1990 Speeches\Appro Comm Test 1.1 | \9811_0001\data\Speeches\JJDS5b\jjd1103.pdf,Original version | Preservation version,,Collection is open for research.,2015,Copyright has been transferred to the Regents of the University of Michigan.,
